[2026-08-24T20:10:02.564Z] GET http://localhost:8900/ → 200 (?ms, -187B)
[2026-08-24T20:10:02.566Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:02.566Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:10:02.566Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:10:02.567Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:10:02.567Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:10:02.569Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:46.790Z] GET http://localhost:8900/ → 200 (1ms, ?B)
[2026-08-24T20:10:46.794Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:46.794Z] GET http://localhost:8900/styles.css → 200 (1ms, 24954B)
[2026-08-24T20:10:46.794Z] GET http://localhost:8900/script.js → 304 (1ms, ?B)
[2026-08-24T20:10:46.795Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:10:46.795Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:10:46.797Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:49.085Z] GET http://localhost:8900/ → 200 (1ms, -187B)
[2026-08-24T20:10:49.088Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:49.088Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:10:49.088Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:10:49.089Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:10:49.089Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:10:49.090Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
